Indiv,AvgDP,GTest,MeanSpacing,MedianSpacing,AdTest,Count2,Count3,Count4
Mom1,46.848973656878485,NA,NA,NA,NA,0,0,0
Mom15,12.146305353602115,NA,NA,NA,NA,0,0,0
Mom17,12.493653101690114,NA,NA,NA,NA,0,0,0
Mom19,9.494317817014446,NA,NA,NA,NA,0,0,0
Mom2,14.035498064394297,NA,NA,NA,NA,0,0,0
Mom7,9.107461051836465,NA,NA,NA,NA,0,0,0
Son1,54.43338683788122,0.017656486820087424,40314878.666666664,41990949,0.4460540011842785,2,2,0
Son15,11.948480785572656,0.2799451342786208,9070847.7,6176743,0.07938720170719826,33,31,0
Son17,19.05968841469172,1,45354238.5,47440346,0.25601160359969277,1,1,0
Son19,12.84884902275517,1.8492242339416147e-97,228341.03713027062,5300,3.7759597215636376e-7,1582,57,0
Son2,10.857176848267397,3.637693786931185e-5,20157439.333333332,13705350.5,3.334477053063001e-5,11,4,0
Son7,10.500137852893966,3.688897254267934e-148,248346.2751540041,4147,4.1067761791246937e-7,1454,34,2
